Gene,OR,Mean,SD,SEM,Replication
Olfr78,MOR18-2,8.162,0.595,0.343,3
Olfr610,MOR9-2,6.221,0.534,0.308,3
Olfr561,MOR14-2,5.037,0.138,0.079,3
Olfr734,MOR242-1,3.823,0.451,0.26,3
Olfr263,MOR256-31,3.018,0.461,0.189,6
Olfr557,MOR18-3,2.563,0.099,0.057,3
Olfr168,MOR271-1,1.899,0.48,0.196,6
Olfr628,MOR22-1,1.345,0.076,0.044,3
Olfr1352,MOR139-1,1.279,0.139,0.057,6
Gorilla_OR2W1,gorilla-OR2W1,1.193,0.175,0.101,3
Olfr1370,MOR256-14,1.193,0.69,0.282,6
hOR2W1,OR2W1,1.042,1.158,0.185,39
Olfr167,MOR272-1,0.954,0.602,0.246,6
Olfr979,MOR223-1,0.872,0.071,0.029,6
Olfr556,MOR41-1,0.853,0.133,0.034,15
Olfr980,MOR223-2,0.826,0.255,0.147,3
Chimp_OR2W1,chimp-OR2W1,0.793,0.023,0.013,3
Bushbaby_OR2W1,bushbaby-OR2W1,0.778,0.033,0.019,3
Olfr746,MOR106-12,0.765,0.097,0.056,3
SpiderMonkey_OR2J2,SpiderMonkey_OR2J2,0.746,0.121,0.04,9
Olfr25,MOR170-4,0.716,0.257,0.074,12
Patas_OR2W1,patas-OR2W1,0.701,0.08,0.033,6
SpiderMonkey_OR2W1,SpiderMonkey_OR2W1,0.692,0.069,0.028,6
Olfr203,MOR182-5,0.661,0.041,0.017,6
Olfr143,MOR170-6,0.611,0.071,0.029,6
PigtailMacaque_OR2W1,PigtailMacaque_OR2W1,0.609,0.066,0.027,6
Pongo_OR2J2,pongo-OR2J2,0.604,0.079,0.026,9
Olfr992,MOR203-1,0.6,0.015,0.009,3
MongooseLemur_OR2W1,MongooseLemur_OR2W1,0.598,0.061,0.02,9
SquirrelMonkey_OR2W1,SquirrelMonkey_OR2W1,0.595,0.044,0.025,3
Olfr1411,MOR208-3,0.582,0.342,0.14,6
Chimp_OR5P3,chimp-OR5P3,0.564,0.06,0.024,6
Olfr211,MOR253-9,0.53,0.071,0.041,3
Olfr1377,MOR129-1,0.47,0.451,0.13,12
Olfr1512,MOR223-5,0.455,0.227,0.131,3
Olfr478,MOR204-13,0.441,0.125,0.042,9
Olfr109,MOR250-1,0.405,0.311,0.127,6
Olfr1130,MOR264-4,0.392,0.055,0.032,3
hOR10G7,OR10G7,0.388,0.223,0.064,12
Olfr5,MOR103-8,0.36,0.065,0.026,6
Olfr67,MOR31-1,0.36,0.028,0.016,3
Olfr898,MOR170-3,0.359,0.074,0.043,3
Olfr1126,MOR264-5,0.351,0.088,0.025,12
Olfr1414,MOR103-2,0.33,0.025,0.015,3
Olfr488,MOR204-15,0.33,0.04,0.023,3
Olfr539,MOR253-4,0.329,0.034,0.019,3
Olfr888,MOR162-4,0.327,0.063,0.018,12
Olfr124,MOR256-3,0.324,0.164,0.042,15
Olfr1362,MOR256-8,0.321,0.027,0.011,6
Olfr90,MOR256-21,0.317,0.065,0.027,6
Olfr429,MOR105-1,0.315,0.068,0.028,6
Olfr378,MOR135-2,0.303,0.031,0.018,3
Olfr123,MOR256-9,0.294,0.02,0.012,3
Olfr920,MOR165-6,0.288,0.077,0.044,3
Olfr535,MOR253-7,0.285,0.028,0.012,6
Olfr1364,MOR256-13,0.272,0.046,0.019,6
Olfr893,MOR170-11,0.271,0.013,0.007,3
Olfr1238,MOR231-11,0.243,0.049,0.028,3
Olfr739,MOR106-2,0.236,0.039,0.011,12
Olfr136,MOR256-7,0.216,0.035,0.014,6
hOR4Q3,OR4Q3,0.215,0.014,0.008,3
Olfr983,MOR162-1,0.211,0.009,0.005,3
Olfr1501,MOR212-3,0.21,0.016,0.009,3
Olfr1250,MOR231-7,0.198,0.018,0.01,3
Olfr47,MOR261-9,0.188,0.024,0.005,21
Olfr1240,MOR231-8,0.186,0.019,0.011,3
Olfr174,MOR184-1,0.186,0.03,0.017,3
Olfr414,MOR103-10,0.186,0.019,0.006,9
Olfr889,MOR162-2,0.172,0.048,0.014,12
hOR2C1,OR2C1,0.159,0.023,0.009,6
hOR2M7,OR2M7,0.157,0.011,0.004,6
Olfr156,MOR262-6,0.157,0.031,0.01,9
hOR2M3,OR2M3,0.156,0.006,0.004,3
hOR2J2,OR2J2,0.155,0.028,0.008,12
Olfr62,MOR258-5,0.148,0.007,0.004,3
hOR5P3,OR5P3,0.143,0.036,0.01,12
Olfr1082,MOR192-4p,0.143,0.068,0.028,3
hOR52E4,OR52E4,0.136,0.003,0.002,3
Olfr434,MOR261-10,0.135,0.008,0.003,9
hOR6C65,OR6C65,0.133,0.002,0.001,3
Olfr1079,MOR189-1,0.132,0.055,0.011,24
Olfr518,MOR268-5,0.132,0.011,0.006,3
hOR10H2,OR10H2,0.13,0.005,0.003,3
hOR2T1,OR2T1,0.129,0.016,0.009,3
Olfr424,MOR105-2,0.127,0.01,0.006,3
Olfr491,MOR204-11,0.127,0.056,0.019,9
Olfr1104,MOR207-1,0.122,0.062,0.018,12
hOR10G4,OR10G4,0.121,0.051,0.017,9
Olfr340,MOR136-1,0.121,0.04,0.016,6
Olfr1502,MOR211-1,0.121,0.02,0.011,3
hOR14A2,OR5AX1,0.116,0.007,0.004,3
Olfr895,MOR170-1,0.113,0.018,0.006,9
Olfr145,MOR161-6,0.112,0.032,0.013,6
Olfr1080,MOR192-1,0.111,0.032,0.018,3
Olfr2,MOR103-15,0.109,0.039,0.016,6
Olfr339,MOR136-3,0.109,0.028,0.009,9
Olfr1009,MOR175-3,0.108,0.016,0.009,3
Olfr13,MOR261-6,0.108,0.002,0.001,3
Olfr1062,MOR185-1,0.107,0.021,0.009,6
Olfr51,MOR129-3,0.107,0.007,0.004,3
hOR2A12,OR2A12P,0.103,0.007,0.004,3
hOR4N5,OR4N5,0.102,0.007,0.004,3
Olfr357,MOR138-3,0.102,0.047,0.016,9
Olfr231,MOR105-4,0.1,0.019,0.011,3
Olfr311,MOR222-1,0.1,0.03,0.017,3
Olfr549,MOR31-3,0.1,0.039,0.016,6
Olfr532,MOR251-1,0.095,0.003,0.002,3
Olfr875,MOR161-4,0.095,0.018,0.006,3
Olfr1497,MOR212-1,0.094,0.008,0.005,3
Olfr749,MOR106-1,0.094,0.011,0.006,3
Olfr702,MOR260-4,0.092,0.011,0.006,3
Olfr1484,MOR202-37,0.091,0.01,0.004,6
hOR2F1,OR2F1,0.09,0.003,0.002,3
Olfr919,MOR171-23,0.09,0.03,0.018,3
Olfr1095,MOR179-1,0.088,0.019,0.006,9
Olfr1477,MOR202-10,0.088,0.02,0.008,6
Olfr981,MOR223-8,0.087,0.019,0.011,3
hOR10G6,OR10G6P,0.085,0.016,0.006,6
Olfr1093,MOR179-6,0.085,0.017,0.006,9
hOR1N2,OR1N2,0.084,0.007,0.004,3
Olfr1443,MOR202-8,0.082,0.012,0.003,15
Olfr151,MOR171-2,0.082,0.019,0.011,3
hOR4D10,OR4D10,0.081,0.005,0.003,3
Olfr958,MOR224-9,0.08,0.006,0.003,3
hOR10K2,OR10K2,0.078,0.007,0.004,3
hOR52K1,OR52K1,0.077,0.009,0.005,3
Olfr19,MOR140-1,0.076,0.01,0.006,3
Olfr876,MOR161-1,0.076,0.011,0.005,6
Olfr1511,MOR223-9,0.076,0.012,0.005,6
Olfr376,MOR135-12,0.075,0.015,0.006,6
hOR4D2,OR4D2,0.073,0.004,0.002,3
Olfr346,MOR136-11,0.071,0.008,0.004,3
hOR3A1,OR3A1,0.069,0.011,0.006,3
hOR4K5,OR4K5,0.069,0.004,0.002,3
Olfr1323,MOR216-1,0.069,0.011,0.006,3
Olfr33,MOR11-2,0.068,0.008,0.005,3
Olfr1510,MOR223-6,0.068,0.022,0.013,3
hOR4F17,OR4F17,0.067,0.002,0.001,3
Olfr180,MOR184-11,0.067,0.001,0.001,3
Olfr961,MOR224-5,0.067,0.011,0.007,3
Olfr201,MOR182-2,0.066,0.013,0.005,6
Olfr1353,MOR139-2,0.065,0.018,0.007,6
Olfr609,MOR9-1,0.064,0.002,0.001,3
Olfr975,MOR224-2,0.063,0.006,0.004,3
Olfr1170,MOR174-12,0.062,0.009,0.005,3
hOR10G3,OR10G3,0.061,0.007,0.004,3
Olfr476,MOR204-3,0.061,0.013,0.003,15
Olfr1446,MOR202-2,0.059,0.007,0.004,3
Olfr617,MOR31-10,0.059,0.007,0.003,6
Olfr502,MOR204-8,0.056,0.012,0.005,6
hOR5M3,OR5M3,0.055,0.005,0.003,3
Olfr890,MOR162-3,0.055,0.008,0.005,3
Olfr874,MOR161-2,0.053,0.012,0.007,3
Olfr978,MOR223-3,0.052,0.017,0.007,6
Olfr467,MOR204-33p,0.052,0.016,0.009,3
Olfr150,MOR171-18,0.052,0.008,0.004,3
Olfr1243,MOR231-4,0.051,0.003,0.002,3
Olfr1461,MOR202-35,0.051,0.002,0.001,3
Olfr959,MOR224-3,0.051,0.017,0.01,3
Olfr209,MOR182-6,0.049,0.003,0.001,6
Olfr347,MOR136-9,0.049,0.015,0.006,6
Olfr982,MOR223-4,0.049,0.01,0.004,6
Olfr206,MOR182-4,0.046,0.016,0.009,3
Olfr284,MOR160-4,0.045,0.01,0.006,3
Olfr923,MOR164-2,0.044,0.002,0.001,3
Olfr27,MOR171-6,0.043,0.003,0.002,3
Olfr1469,MOR202-11,0.042,0.009,0.005,3
Olfr976,MOR224-10,0.042,0.006,0.004,3
Olfr1465,MOR202-28,0.042,0.004,0.002,3
Olfr494,MOR204-10,0.041,0.008,0.003,6
Olfr985,MOR171-4,0.04,0,0,3
Olfr508,MOR204-6,0.039,0.013,0.007,3
Olfr1044,MOR185-4,0.036,0.005,0.003,3
Olfr506,MOR204-23,0.034,0.005,0.003,3
Olfr960,MOR224-12,0.03,0.004,0.002,3
hOR8K3,hOR8K3,0.017,0.004,0.003,3
