Gene,CID,Responsive
hOR11H12,439570,1
hOR11H12,7410,1
hOR11H12,323,1
hOR11H12,68110,0
hOR5R1,439570,1
hOR5R1,7410,1
hOR5R1,323,1
hOR5R1,68110,1
hOR8K5,439570,1
hOR8K5,7410,0
hOR8K5,323,0
hOR8K5,68110,0
Olfr147,439570,1
Olfr147,7410,0
Olfr147,323,1
Olfr147,68110,0
Olfr160,439570,1
Olfr160,7410,1
Olfr160,323,1
Olfr160,68110,1
Olfr194,439570,1
Olfr194,7410,1
Olfr194,323,1
Olfr194,68110,1
Olfr205,439570,1
Olfr205,7410,1
Olfr205,323,1
Olfr205,68110,1
Olfr747,439570,1
Olfr747,7410,1
Olfr747,323,1
Olfr747,68110,0
hOR10G3,439570,0
hOR10G3,7410,0
hOR10G3,323,0
hOR10G3,68110,0
hOR10G4,439570,0
hOR10G4,7410,0
hOR10G4,323,0
hOR10G4,68110,0
hOR10S1,439570,0
hOR10S1,7410,0
hOR10S1,323,0
hOR10S1,68110,0
hOR12D3,439570,0
hOR12D3,7410,0
hOR12D3,323,0
hOR12D3,68110,0
hOR1E3,439570,0
hOR1E3,7410,1
hOR1E3,323,0
hOR1E3,68110,0
hOR1N1,439570,0
hOR1N1,7410,0
hOR1N1,323,0
hOR1N1,68110,0
hOR2A1,439570,0
hOR2A1,7410,0
hOR2A1,323,0
hOR2A1,68110,0
hOR2AJ1,439570,0
hOR2AJ1,7410,0
hOR2AJ1,323,0
hOR2AJ1,68110,0
hOR2G3,439570,0
hOR2G3,7410,0
hOR2G3,323,0
hOR2G3,68110,0
hOR5A1,439570,0
hOR5A1,7410,0
hOR5A1,323,0
hOR5A1,68110,0
hOR5B21,439570,0
hOR5B21,7410,0
hOR5B21,323,0
hOR5B21,68110,0
hOR5B3,439570,0
hOR5B3,7410,0
hOR5B3,323,0
hOR5B3,68110,0
hOR5F1,439570,0
hOR5F1,7410,0
hOR5F1,323,0
hOR5F1,68110,0
hOR5T1,439570,0
hOR5T1,7410,0
hOR5T1,323,0
hOR5T1,68110,0
hOR5T2,439570,0
hOR5T2,7410,0
hOR5T2,323,0
hOR5T2,68110,0
hOR6B1,439570,0
hOR6B1,7410,0
hOR6B1,323,0
hOR6B1,68110,0
hOR6S1,439570,0
hOR6S1,7410,0
hOR6S1,323,0
hOR6S1,68110,0
hOR8B2,439570,0
hOR8B2,7410,0
hOR8B2,323,0
hOR8B2,68110,1
hOR8D1,439570,0
hOR8D1,7410,0
hOR8D1,323,0
hOR8D1,68110,0
hOR8I2,439570,0
hOR8I2,7410,0
hOR8I2,323,0
hOR8I2,68110,0
hOR8K1,439570,0
hOR8K1,7410,0
hOR8K1,323,0
hOR8K1,68110,0
hOR8U8,439570,0
hOR8U8,7410,0
hOR8U8,323,0
hOR8U8,68110,0
hOR9G1,439570,0
hOR9G1,7410,0
hOR9G1,323,0
hOR9G1,68110,0
hOR9G9,439570,0
hOR9G9,7410,0
hOR9G9,323,0
hOR9G9,68110,0
Olfr1008,439570,0
Olfr1008,7410,0
Olfr1008,323,0
Olfr1008,68110,0
Olfr1013,439570,0
Olfr1013,7410,0
Olfr1013,323,0
Olfr1013,68110,0
Olfr1016,439570,0
Olfr1016,7410,0
Olfr1016,323,1
Olfr1016,68110,0
Olfr1036,439570,0
Olfr1036,7410,0
Olfr1036,323,0
Olfr1036,68110,0
Olfr1053,439570,0
Olfr1053,7410,0
Olfr1053,323,0
Olfr1053,68110,0
Olfr1057,439570,0
Olfr1057,7410,1
Olfr1057,323,1
Olfr1057,68110,1
Olfr1097,439570,0
Olfr1097,7410,1
Olfr1097,323,1
Olfr1097,68110,1
Olfr1156,439570,0
Olfr1156,7410,1
Olfr1156,323,0
Olfr1156,68110,0
Olfr1162,439570,0
Olfr1162,7410,0
Olfr1162,323,0
Olfr1162,68110,0
Olfr1198,439570,0
Olfr1198,7410,0
Olfr1198,323,0
Olfr1198,68110,0
Olfr1269,439570,0
Olfr1269,7410,0
Olfr1269,323,0
Olfr1269,68110,0
Olfr128,439570,0
Olfr128,7410,0
Olfr128,323,0
Olfr128,68110,0
Olfr1284,439570,0
Olfr1284,7410,0
Olfr1284,323,0
Olfr1284,68110,0
Olfr1303,439570,0
Olfr1303,7410,0
Olfr1303,323,0
Olfr1303,68110,0
Olfr1305,439570,0
Olfr1305,7410,0
Olfr1305,323,0
Olfr1305,68110,0
Olfr1474,439570,0
Olfr1474,7410,0
Olfr1474,323,0
Olfr1474,68110,0
Olfr199,439570,0
Olfr199,7410,0
Olfr199,323,0
Olfr199,68110,0
Olfr220,439570,0
Olfr220,7410,0
Olfr220,323,0
Olfr220,68110,0
Olfr251,439570,1
Olfr251,7410,1
Olfr251,323,1
Olfr251,68110,1
Olfr285,439570,0
Olfr285,7410,0
Olfr285,323,1
Olfr285,68110,1
Olfr44,439570,0
Olfr44,7410,0
Olfr44,323,0
Olfr44,68110,0
Olfr513,439570,0
Olfr513,7410,0
Olfr513,323,0
Olfr513,68110,0
Olfr761,439570,0
Olfr761,7410,0
Olfr761,323,0
Olfr761,68110,0
Olfr782,439570,0
Olfr782,7410,0
Olfr782,323,0
Olfr782,68110,0
Olfr804,439570,0
Olfr804,7410,0
Olfr804,323,0
Olfr804,68110,0
Olfr883,439570,0
Olfr883,7410,0
Olfr883,323,0
Olfr883,68110,0
Olfr885,439570,0
Olfr885,7410,0
Olfr885,323,0
Olfr885,68110,0
Olfr908,439570,0
Olfr908,7410,0
Olfr908,323,0
Olfr908,68110,0
Olfr913,439570,0
Olfr913,7410,0
Olfr913,323,0
Olfr913,68110,0
Olfr924,439570,0
Olfr924,7410,0
Olfr924,323,1
Olfr924,68110,0
Olfr967,439570,0
Olfr967,7410,0
Olfr967,323,0
Olfr967,68110,0
